"contentType","ts","value"
Trading,1727272800,7638992104
Trading,1727236800,5651633
Trading,1727568000,64571546
Trading,1727172000,17635020
Trading,1727229600,15668302
Trading,1727791200,60022287
Trading,1727157600,5146618
Other File Sharing,1727856000,6006455
Other File Sharing,1727748000,3272913
Other File Sharing,1727740800,4024613
Other File Sharing,1727920800,4695502
Trading,1727546400,5903498
Trading,1727733600,31516359
Trading,1727208000,33418418
One Click Hosting,1728302400,11174195925
Other File Sharing,1727193600,91838866
Trading,1728453600,1948632
Other File Sharing,1728669600,415296032
Email,1728727200,11345186
Trading,1728360000,6408784
Trading,1727416800,9603234
Trading,1727632800,11223430
Other File Sharing,1727388000,5386288
Email,1728352800,15026705
Other File Sharing,1727611200,3843077
Other File Sharing,1727604000,2549344
Other File Sharing,1727524800,3155765
Other File Sharing,1728655200,415965492
Other File Sharing,1727848800,3686097
Trading,1727920800,3123902
Trading,1728266400,14258384
Other File Sharing,1727344800,290151289
Other File Sharing,1727935200,3860873
Other File Sharing,1727647200,13257902
Trading,1727805600,75954655
Other File Sharing,1727366400,6386479
Other File Sharing,1727265600,3959765
Trading,1727395200,5302159
Trading,1727683200,17949277
Trading,1728468000,28788199
Other File Sharing,1728417600,4977544
One Click Hosting,1727344800,11618205888
Trading,1728028800,53734016
Trading,1728100800,559826
Trading,1728151200,23796892
Trading,1727935200,14753339
Trading,1727798400,72842388
Trading,1728280800,9772459
Trading,1727402400,712555
Trading,1727640000,112784637
Trading,1727179200,24029391
One Click Hosting,1727265600,10309136935
Other File Sharing,1728086400,6014484
One Click Hosting,1727215200,3355690200
Trading,1728712800,6177314
Trading,1728662400,27417391
Trading,1728021600,2778011
Trading,1728619200,12569284
Trading,1727164800,72257407
Trading,1728223200,110458376
Trading,1727316000,1232721
Other File Sharing,1728266400,1172334
Other File Sharing,1727157600,696104
Other File Sharing,1728691200,3910322
Other File Sharing,1727942400,5435519
Other File Sharing,1728345600,4281126
Other File Sharing,1728172800,5991303
Other File Sharing,1727992800,4720958
Other File Sharing,1728482400,296084
Other File Sharing,1727359200,8819861
Other File Sharing,1727301600,4989628
Other File Sharing,1728302400,3245478
Other File Sharing,1728043200,4405457
Other File Sharing,1728309600,3651556
Other File Sharing,1728489600,4394695
Other File Sharing,1727258400,4311238
Other File Sharing,1728252000,6755548
Trading,1728367200,14523097
Other File Sharing,1728576000,7377979
Trading,1728273600,502918
Email,1727841600,1020986961
Trading,1727928000,3572351
Trading,1727409600,7179587
Trading,1728345600,28687060
Trading,1728007200,15817921
Other File Sharing,1727380800,4841956
Other File Sharing,1727294400,5078821
Other File Sharing,1728244800,7568775
Other File Sharing,1728237600,6202365
Other File Sharing,1727215200,11637146
Other File Sharing,1727208000,8215378
One Click Hosting,1728504000,6404699004
Trading,1728727200,27280304
Other File Sharing,1727632800,5714914
Trading,1728352800,282070
Email,1727834400,28401891
Email,1727236800,19000485
Other File Sharing,1728295200,3611005
Other File Sharing,1728684000,421249513
Email,1727244000,36387439
Other File Sharing,1727200800,6026282
Other File Sharing,1727762400,4682097
Other File Sharing,1727755200,4911698
One Click Hosting,1728403200,8129776184
Trading,1727661600,10492665
Email,1727316000,22399246
Other File Sharing,1728424800,8703494
Other File Sharing,1728079200,4705991
Other File Sharing,1728000000,3900984
Other File Sharing,1728050400,4430506
Other File Sharing,1728640800,6593298
Email,1728100800,12159028
Other File Sharing,1727812800,5269607
One Click Hosting,1728295200,2004970361
Email,1727272800,230380541
Unknown,1728482400,15962081772
Other File Sharing,1728460800,7991642
Other File Sharing,1728583200,425167949
Email,1727496000,203870466
Other File Sharing,1728324000,3705405
Other File Sharing,1728165600,7652848
Trading,1727748000,207423
Email,1728604800,257014346
Other File Sharing,1728648000,302824242
Other File Sharing,1728331200,8833598
Other File Sharing,1727733600,11586701
Other File Sharing,1727769600,5624904
Email,1728583200,88549510
Other File Sharing,1727892000,6234868
Email,1727265600,89036127
Email,1728273600,253341508
Email,1727827200,25942427
Email,1727481600,880711509
Email,1727488800,19365536
Other File Sharing,1727899200,8141754
One Click Hosting,1728662400,9178790316
Other File Sharing,1727949600,6782138
Email,1727748000,24704494
Other File Sharing,1727884800,6390577
Email,1728446400,138606789
Email,1727676000,56486210
Email,1728201600,478704855
Email,1728280800,37538824
Email,1728612000,34872127
Email,1727668800,219383940
Email,1728093600,31720902
Email,1728619200,47897247
One Click Hosting,1728482400,555443085
Email,1727661600,27640505
One Click Hosting,1728309600,16478104049
Email,1727424000,179796403
Email,1727388000,54421605
Email,1728712800,87137748
Email,1728288000,140573043
Email,1727474400,78119607
Email,1728590400,79163401
Unknown,1728266400,91520270973
Email,1728259200,38915223
Email,1727229600,463695621
Email,1728460800,294358538
Email,1728720000,46392781
Email,1728021600,28617665
Email,1727848800,58911036
Email,1728432000,62765565
Email,1728172800,421132922
One Click Hosting,1728568800,19740377331
Email,1727755200,197491211
Email,1727740800,870772692
Email,1727928000,1069099991
Email,1727762400,55383128
Email,1728554400,546877243
Email,1728468000,92094470
Email,1728208800,16175131
Other File Sharing,1727906400,9050475
Email,1727920800,29246310
Email,1727330400,47936023
Email,1727222400,396757105
Email,1727589600,23494949
Other File Sharing,1728590400,8279784
One Click Hosting,1728331200,28254101438
Email,1727546400,75625201
Email,1728007200,1043502254
Email,1728360000,46889887
Other File Sharing,1728468000,5355881
Email,1727582400,176970959
Email,1728705600,46829803
Email,1728597600,27585697
Email,1727373600,67329913
Email,1727568000,907248289
Email,1728151200,176091939
Email,1727323200,198645479
Email,1728028800,81999510
Email,1727575200,43041200
Email,1727892000,114388844
Email,1727604000,22018103
Email,1727884800,78139366
Voice & Video Calls,1727416800,281183828
Email,1728381600,161843048
